id,feature,source_files,user_story,expected_behaviour,status,evidence,errors,fix_notes,retest_status
SG-001,Planner trigger recognition,SKILL.md,"As Chip, I can invoke chip-supergoal with /chip-supergoal, SG, plan-and-ship, standing continuation, or risky refactor wording.",The skill is selected for non-trivial planning and standing SuperGoal continuation/repair; tiny direct tasks are refused as too small for SG.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-002,Plan-only boundary,SKILL.md,"As Chip, I can ask for a SuperGoal package without the planner executing implementation phases.","Planner may inspect/research/write artifacts, but must not perform numbered implementation phase execution.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-003,Canonical launch surface,SKILL.md; templates/LAUNCH_GOAL.md; templates/ROADMAP.md,"As Chip, I get exactly one human-facing launch body.",Only LAUNCH_GOAL.md contains an actual line starting SUPERGOAL_GOAL_BODY:; ROADMAP/THINKING do not hide alternate launch bodies.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-004,Standard /goal handoff,SKILL.md; templates/LAUNCH_GOAL.md; references/upstream-goal-compatibility.md,"As Chip, I can launch one standard /goal that reads STATE.md and continues to audit.",Launch card uses upstream-compatible /goal contract; no chained /goal bodies.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-005,Generated package completeness,SKILL.md; references/artifact-schemas.md,"As Chip, I get a complete disk-backed .supergoal package.","Package includes THINKING, optional RESEARCH, LOOP_DESIGN, ROADMAP, STATE, PROTOCOL, LAUNCH_GOAL, phase specs, scripts/repo-state.sh, and delivery scripts when requested.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-006,Strict phase spec schema,SKILL.md; references/phase-design.md; scripts/validate-phase.sh,"As an executor, I can validate every phase before running it.","Every phase has SUPERGOAL_PHASE_START metadata, Work, Acceptance criteria, Mandatory commands, Evidence required headings; validate-phase.sh fails malformed specs.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-007,RPD plan review embedded,SKILL.md; references/rpd-review-gates.md,"As Chip, every plan gets a senior review before handoff.",RPD_PLAN_REVIEW runs in Stage 6 and findings mutate artifacts or are marked checked-holds with evidence tier.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-008,Risky phase RPD metadata,SKILL.md; references/rpd-review-gates.md; references/production-safety.md,"As Chip, risky work gets explicit senior gate coverage.",Auth/payments/secrets/prod/migrations/gateway/cron/model/public/destructive phases set RPD required yes with focus and evidence.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-009,Final audit completion gate,SKILL.md; templates/PROTOCOL.md; references/final-audit-packaging.md,"As Chip, SG cannot claim done before audit.","Final completion re-reads ROADMAP, verifies deliverables, runs aggregate checks, emits RPD_FINAL_REVIEW, AUDIT_COMPLETE, then SUPERGOAL_RUN_COMPLETE.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-010,Telegram delivery as blocking done criterion,SKILL.md; templates/delivery/send-review-md-files.sh; templates/delivery/send-final-artifacts.sh,"As Chip, requested Telegram files are real attachments with receipts.",Review/final file delivery creates receipts and verifies ok=true/sent=true before claiming gate complete.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-011,Two allowed human gates,SKILL.md; references/core-planning-contract.md,"As Chip, SG asks only where it matters.",Only Stage 1 material clarifying questions and Stage 6 go/no-go are human gates by default.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-012,Stage 0 live skill dir resolution,SKILL.md; references/skill-maintenance.md; references/category-backed-skill-path-validation.md,"As Chip, planner uses the live loaded skill, not stale paths.",Stage 0 resolves live skill_dir and records skill path/context notes before trusting old locations.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-013,Brownfield/greenfield intake limits,SKILL.md; references/core-planning-contract.md,"As Chip, intake is concise but sufficient.",Brownfield asks 0–2 questions; greenfield batches up to 4 until material gaps close; retrievable context is gathered with tools.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-014,Repository reconnaissance,SKILL.md; scripts/detect-stack.sh; scripts/detect-env.sh; scripts/summarize-repo.sh,"As Chip, roadmap starts from actual repo state.","Stage 2 runs stack/env/repo scripts and records stack, commands, and risks.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-015,Research gates,SKILL.md; references/research-and-architecture-gates.md; references/research-before-design.md; templates/RESEARCH.md,"As Chip, current facts and existing solutions are checked before design.","Research runs when current facts matter and writes RESEARCH.md with sources, candidates, verdict, implications, and unverified claims.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-016,Architecture gate,SKILL.md; references/architect-plus-lite.md; references/architecture-decision-supergoal.md,"As Chip, design choices are explicit before phases.",Architecture tradeoffs/decision phases are documented for architecture/evaluation SGs; heavyweight candidates get eligibility gates.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-017,Phase decomposition depth,SKILL.md; references/planning-depth.md; references/phase-design.md,"As Chip, work is sliced by verifiable units, not arbitrary phase count.","Planner creates as many phases as required with dependencies, acceptance criteria, commands, evidence, and no fixed cap.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-018,State initialization,SKILL.md; templates/STATE.md,"As an executor, I can resume from STATE.md.","STATE.md records current phase, baseline ref, engineering check status, live status snapshot, events, delivery state.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-019,Protocol marker preservation,SKILL.md; templates/PROTOCOL.md,"As an evaluator, I can parse SG lifecycle markers.","PROTOCOL preserves SUPERGOAL_PHASE_START/STATUS/VERIFY/DONE/TURN_YIELD, PREFLIGHT, RPD, FAILURE, AUDIT, delivery, and completion markers.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-020,Continuous execution through phases,SKILL.md; templates/PROTOCOL.md; references/execution-state-machine.md,"As Chip, /goal keeps going through all safe phases until final audit or a real blocker.",GoalManager must not stop at numbered phase boundaries; SUPERGOAL_TURN_YIELD is only a forced-yield/blocker marker,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-021,Continuation over status-only,templates/PROTOCOL.md; references/standing-goal-continuation-completion.md,"As Chip, continuation prompts do work instead of just reporting status.","If STATE.md is not DONE/BLOCKED, executor continues current phase/audit from disk and does not answer only with status.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-022,Repeated complete continuation guard,references/repeated-complete-continuations.md; references/repeated-completed-wrapper-guard.md,"As Chip, stale post-complete wrappers do not spam the chat.","If STATE/current phase is complete, loop stops; repeated identical post-complete continuations get at most minimal status/silence.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-023,Blocked approval stop,templates/PROTOCOL.md; references/repeated-approval-blocked-goal-loop.md,"As Chip, real human/provider approval blockers pause cleanly.",BLOCKED_BY_APPROVAL/READY_FOR_DELETE_APPROVAL causes a stop without re-running checks or restating cards every continuation.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-024,Failure recovery markers,templates/PROTOCOL.md; references/execution-state-machine.md; references/goalmanager-recovery.md,"As Chip, failures are probed and handed off explicitly.",Failures emit FAILURE_PROBE/FAILURE_ESCALATE/FAILURE_HANDOFF and do not get converted into false completion.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-025,Preflight smoke,SKILL.md; templates/PROTOCOL.md,"As Chip, packages are checked before dispatch.","Stage 6.5 verifies baseline commands, repo state, required files, blockers and emits PREFLIGHT_GREEN or PREFLIGHT_RED.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-026,Repo state helper,scripts/repo-state.sh; references/repo-state-comparison.md,"As Chip, executor can show changed deliverables against baseline.",repo-state.sh reports name-status and dirty state for deliverable paths; ignored .supergoal is handled separately.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-027,Ignored .supergoal hygiene,SKILL.md; references/ignored-supergoal-package-hygiene.md,"As Chip, git-clean does not hide stale/ignored package drift.",Planner/executor reports ignored .supergoal artifacts separately and directly verifies package files before claiming clean.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-028,Skill maintenance validation,SKILL.md; references/skill-maintenance.md; scripts/test.sh,"As Chip, skill edits are validated before being reported.","Changed skills parse frontmatter, keep root concise, load linked files, run tests/guards, scan for secrets, and skill_view loads.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-029,Upstream/private goal reconciliation,SKILL.md; references/upstream-goal-reconciliation.md; references/supergoal-hermes-update-preservation.md,"As Chip, private GoalManager patches survive updates or are reduced safely.","Reconciliation records HEAD/branch/status, compares upstream/private split, runs focused matrix, and reports remote/local boundary.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-030,SuperGoal goal code-review hardening dispatch,SKILL.md; references/supergoal-goal-code-review-hardening.md,"As Chip, GoalManager/gateway regressions get the correct review checklist.","When reviewing/fixing Hermes GoalManager, gateway launch, Telegram clarify button, or structured completion, reference dispatch loads code-review hardening.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-031,RPD-to-SuperGoal handoff,SKILL.md; references/rpd-to-supergoal-handoff.md,"As Chip, an RPD/xhigh verdict can become a clean SG package.",Quoted RPD verdict is treated as source; stale .supergoal residue is not mixed into the new package.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-032,Telegram launch/delivery workflow,SKILL.md; references/telegram-launch-and-delivery.md; references/telegram-launch-card-ux.md,"As Chip, launch UX is short, file-first, and verifiable.","Planner sends/records allowed review files, presents one launch card, and live verification checks visible GoalManager state when starting.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-033,Telegram Markdown launch hardening,references/telegram-md-goal-launch-hardening.md; references/telegram-md-goal-launch-ux.md; references/telegram-md-launch-pipeline-hardening.md,"As Chip, rich Telegram formatting does not break /goal launch.","Markdown launch pipeline preserves required /goal text, avoids malformed entities, and verifies active state rather than send logs.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-034,Telegram button session key correctness,references/telegram-button-goal-session-key.md; references/telegram-goal-live-verification.md,"As Chip, button-started goals attach to the visible topic/session.",Callback/session handling verifies group/topic GoalManager state active; wrong sibling/forum sessions are migrated/paused.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-035,Telegram review file delivery gate,references/telegram-review-file-delivery-gate.md; templates/delivery/send-review-md-files.sh,"As Chip, review files are delivered only to allowed surfaces.",Review pack is exactly four md files by default — THINKING,passed,scripts/test-user-stories.py targeted assertion passed,,passed,passed
SG-036,Telegram final artifact delivery idempotency,references/telegram-file-delivery-idempotency.md; references/telegram-delivery-idempotency.md; templates/delivery/package-final-artifacts.sh,"As Chip, final artifact sends are deduped and auditable.",Final files are packaged/sent once with receipt; retries do not create duplicate/conflicting delivery claims.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-037,Production safety gates,references/production-safety.md; references/production-deploy-gates.md; references/process-integrity-production-runs.md,"As Chip, prod-affecting SGs require explicit safety rails.","Rollback, approval manifests, service status, logs, process integrity, and deploy smoke are required for production-adjacent work.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-038,Gateway restart proof,references/gateway-restart-live-proof.md; references/gateway-restart-proof-and-bogus-goal.md; references/gateway-goal-startup-recovery.md,"As Chip, gateway restart fixes are proven live without creating bogus goals.","Restart proof includes service status, logs, visible GoalManager state, and guards against accidental goal text from assistant reports.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-039,Goal identity/audit lookup,references/goal-identity-and-audit-lookup.md; references/standing-goal-disambiguation-and-audit-lookup.md,"As Chip, reports do not merge sibling SG states.",Status/audit lookup resolves the exact goal/package and does not combine results from similar sibling goals.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-040,Status snapshots,references/supergoal-status-snapshots.md; templates/STATE.md; templates/PROTOCOL.md,"As Chip, progress reports are readable but not false proof.","SUPERGOAL_STATUS includes phase, percent, action, check summary, evidence, next step; completion still requires audit markers.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-041,Dev history hardening probes,references/dev-history-hardening.md; scripts/probe-dev-history-contracts.py,"As Chip, repeated incidents become gates/probes rather than prose bloat.",Dev incident classes map to invariant/check/regression; probe script validates key contract references.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-042,Upstream compatibility probe,references/upstream-goal-compatibility.md; scripts/probe-upstream-goal-compat.py,"As Chip, SG remains compatible with upstream /goal semantics.",Probe validates safe /goal compatibility markers and launch template assumptions.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-043,Detect env helper,scripts/detect-env.sh,"As Chip, planner records available tools/auth without leaking secrets.",detect-env reports relevant command/auth availability while avoiding credential dumps.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-044,Detect stack helper,scripts/detect-stack.sh,"As Chip, planner summarizes repo stack and dirty/remote status.",detect-stack identifies languages/package managers/git branch/remote/dirty state.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-045,Summarize repo helper,scripts/summarize-repo.sh,"As Chip, planner gets a compact repo file/language overview.",summarize-repo outputs bounded repository summary suitable for THINKING/ROADMAP evidence.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-046,Legacy monolith as archaeology only,SKILL.md; references/legacy-monolith-2026-06-19.md,"As maintainer, I can reference old behavior without reintroducing root bloat.","Legacy monolith is kept for historical archaeology only, not used as primary live instructions.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-047,Auth UX polish phase pattern,references/auth-ux-polish-phase.md,"As Chip, SGs involving auth UX require safe readable errors.","Auth UX phases map server errors to safe copy, accessible status surfaces, and dark-theme legibility checks.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-048,OAuth provider audit pattern,references/auth-oauth-provider-audit.md,"As Chip, OAuth/provider SGs verify exact provider config.","OAuth audits verify redirect URIs, provider status, credentials boundaries, and no invented routes.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-049,Manual provider resource adoption,references/manual-provider-resource-adoption.md,"As Chip, manually-created provider resources are adopted instead of duplicated.","Planner/executor discovers existing resources, records identifiers, and avoids unsafe recreate/delete without approval.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-050,Money/live-rail safety lane split,references/money-skill-safe-lane-vs-live-rail.md; references/polymarket-live-activation-goal-correction.md; references/polymarket-privy-live-activation-goals.md,"As Chip, financial/live activation goals separate safe checks from live rails.","Financial/live rail tasks require explicit approvals, read-only verification first, and precise status language.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-051,Bounded manifest no internal approvals,references/bounded-manifest-no-internal-approvals.md; references/no-internal-approval-standing-goal.md,"As Chip, approvals are external/material, not agent-internal stalling.",SG does not invent internal approval blockers; asks once only for bounded external manifest when needed.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-052,Goal state compression migration,references/goal-state-compression-migration.md,"As Chip, compressed GoalManager state remains resume-safe.","Migration verifies compression tip, load_goal status, and active/paused/blocked semantics after change.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-053,Package path drift recovery,references/supergoal-continuation-and-package-path-drift.md; references/context-anchor-and-wrong-goal-recovery.md,"As Chip, continuation recovers from wrong/stale package roots.","Executor resolves current package root, anchors context, and quarantines/avoids wrong-goal residue.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-054,Completion loop incident guard,references/goalmanager-completion-loop-incidents.md; references/standing-goal-final-audit-completion.md; references/rollout-final-audit-lessons.md,"As Chip, final audit does not loop forever or claim early.","Completion incidents are guarded by explicit audit evidence, terminal state, and final marker order.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-055,README public overview,README.md,"As a maintainer, I can understand the skill from repo README.","README explains purpose, package artifacts, validation, and usage without private runtime residue.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
