requirement_id,invariant_id,source,behavior,risk,implementation_files,test_ids,last_result,last_evidence_artifact
REQ-P2-001,INV-BOUNDARY-001,Architect+ plan section 2,Planner remains compiler only and no production runner is introduced,second runtime,SKILL.md;references/upstream-goal-compatibility.md,T-ROOT-BOUNDARY;T-PROTOCOL-NO-RUNNER,passed,bash scripts/test.sh
REQ-P2-002,INV-LAUNCH-001,Architect+ plan section 2,Exactly one launch body exists in LAUNCH_GOAL.md,wrong goal/session,templates/LAUNCH_GOAL.md;scripts/test.sh,T-LAUNCH-SINGLE,passed,bash scripts/test.sh
REQ-P2-003,INV-VALIDATOR-001,Architect+ plan A+G-002/A+G-003,Known malformed phase and loop fixtures are executable xfail regressions until semantic validator lands,false valid package,tests/semantic/test_current_validator_escape_cases.py;tests/fixtures/v2-invalid,T-PHASE-99-REJECTED;T-LOOP-ONE-WORD-REJECTED,xfail_expected,docs/baseline-audit.md
REQ-P2-004,INV-ARCHIVE-001,Architect+ plan A+G-009,Symlink archive escape is an executable xfail regression until archive hardening lands,local file leak,tests/security/test_archive_symlink.py;templates/delivery/package-final-artifacts.sh,T-SYMLINK-ESCAPE-REJECTED,xfail_expected,docs/baseline-audit.md
REQ-P2-005,INV-DELIVERY-001,Architect+ plan A+G-008,Forged review/final receipts are executable xfail regressions until receipt hardening lands,false delivery proof,tests/security/test_forged_receipt.py;templates/delivery/send-review-md-files.sh;templates/delivery/send-final-artifacts.sh,T-FORGED-RECEIPT-REJECTED,xfail_expected,docs/baseline-audit.md
REQ-P2-006,INV-REFERENCE-001,Architect+ plan section 14,Invariant catalog provides stable owners/test ids before reference migration,policy drift,spec/invariant-catalog.json;lib/chip_supergoal/invariants.py,T-INVARIANT-CATALOG,passed,python3 -m unittest discover -s tests
REQ-P3-001,INV-VALIDATOR-001,Architect+ plan phase 2,CONTRACT.json v3 dataclasses load and canonical-serialize with strict unknown-field rejection,split-brain contract,lib/chip_supergoal/model.py;spec/contract.schema.json;examples/brownfield-feature/CONTRACT.json,T-CONTRACT-LOAD;T-CONTRACT-STRICT;T-CONTRACT-CANONICAL,passed,python3 -m unittest tests.unit.test_contract_model
REQ-P3-002,INV-RPD-001,Architect+ plan section 9.7,Risk policy maps risky tags to required RPD focus and rejects mismatches,review theater,lib/chip_supergoal/policy.py;spec/risk-policy.json,T-RISK-RPD-MISMATCH,passed,python3 -m unittest tests.unit.test_contract_model
REQ-P4-001,INV-VALIDATOR-001,Architect+ plan phase 4,sgctl semantic validator rejects Phase 99 of 1 count/dependency/RPD mismatch and weak loop design,false valid package,lib/chip_supergoal/validate.py;scripts/sgctl.py;scripts/validate-phase.sh;scripts/validate-loop-design.sh,T-PHASE-99-REJECTED;T-LOOP-ONE-WORD-REJECTED,passed,python3 -m unittest tests.semantic.test_sgctl_semantic_validation
REQ-P4-002,INV-LAUNCH-001,Architect+ plan section 9.9,validate-package catches launch marker drift outside LAUNCH_GOAL.md,wrong launch surface,lib/chip_supergoal/validate.py;scripts/sgctl.py,T-PACKAGE-LAUNCH-DRIFT,passed,python3 -m unittest tests.semantic.test_sgctl_semantic_validation
REQ-P6-001,INV-RECOVERY-001,Architect+ plan phase 5,STATE.json transitions are atomic/CAS-guarded and event-ledger-backed,state corruption,lib/chip_supergoal/state.py;lib/chip_supergoal/events.py;spec/state.schema.json;spec/event.schema.json,T-STATE-TRANSITION;T-STATE-STALE;T-STATE-RECOVERY,passed,python3 -m unittest tests.semantic.test_state_machine
REQ-P7-001,INV-AUDIT-001,Architect+ plan phase 6,Evidence records and audit reports block completion without criterion evidence or terminal DONE state,false done,lib/chip_supergoal/evidence.py;lib/chip_supergoal/audit.py;spec/evidence.schema.json,T-AUDIT-EVIDENCE;T-AUDIT-TERMINAL-MARKERS,passed,python3 -m unittest tests.semantic.test_audit_engine
REQ-P8-001,INV-ARCHIVE-001,Architect+ plan phase 7,Allowlist-safe deterministic archive rejects symlinks/secrets and self-verifies manifest,local file leak,templates/delivery/package-final-artifacts.sh;lib/chip_supergoal/archive.py;tests/security/test_archive_symlink.py;tests/security/test_archive_determinism.py,T-SYMLINK-ESCAPE-REJECTED;T-DETERMINISTIC-ZIP;T-SECRET-SCAN,passed,python3 -m unittest tests.security.test_archive_symlink tests.security.test_archive_determinism
REQ-P8-002,INV-DELIVERY-001,Architect+ plan phase 7,Strict receipt reuse rejects minimal forged review/final receipts,false delivery proof,templates/delivery/send-review-md-files.sh;templates/delivery/send-final-artifacts.sh;lib/chip_supergoal/delivery.py;tests/security/test_forged_receipt.py,T-FORGED-RECEIPT-REJECTED,passed,python3 -m unittest tests.security.test_forged_receipt
REQ-P9-001,INV-CONTINUE-001,Architect+ plan phase 8,Hermetic GoalManager simulator proves phase boundaries/yields/audit marker pair semantics,upstream drift,lib/chip_supergoal/goalmanager_sim.py;tests/e2e/test_goalmanager_simulator.py;tests/e2e/test_full_run.py;docs/compatibility-matrix.md,T-E2E-GOALMANAGER-SIM;T-E2E-FULL-RUN,passed,python3 -m unittest tests.e2e.test_goalmanager_simulator tests.e2e.test_full_run
REQ-P10-001,INV-REFERENCE-001,Architect+ plan phase 9,Reference catalog covers current corpus and generated index/dispatch matches catalog,policy drift,spec/reference-catalog.json;lib/chip_supergoal/references.py;references/INDEX.generated.md;references/dispatch.generated.md,T-REFERENCE-CATALOG-COVERAGE;T-GENERATED-DISPATCH,passed,python3 -m unittest tests.unit.test_reference_catalog_profiles
REQ-P11-001,INV-RECOVERY-001,Architect+ plan phase 10,v2 packages migrate to draft v3 contract with read-only STATE.md fallback and backup rollback,migration split-brain,lib/chip_supergoal/migrate.py;tests/migration/test_v2_migration.py;references/v2-v3-migration.md,T-V2-MIGRATE;T-V2-STATE-FALLBACK;T-V2-INVALID-UNRESOLVED,passed,python3 -m unittest tests.migration.test_v2_migration
REQ-P12-001,INV-REFERENCE-001,Architect+ plan phase 11,CI/release metadata splits jobs pins actions and documents reproducible release gates,release drift,.github/workflows/ci.yml;VERSION;CHANGELOG.md;docs/release-checklist.md;tests/ci/test_release_engineering.py,T-CI-SPLIT;T-ACTION-PINS;T-RELEASE-METADATA,passed,python3 -m unittest tests.ci.test_release_engineering
REQ-P13-001,INV-AUDIT-001,Architect+ plan phase 12,Mutation/fuzz/canary gates verify hard invariants before alpha graduation,false graduation,tests/mutation/test_invariant_mutations.py;tests/fuzz/test_seeded_graph_fuzzer.py;tests/canary/test_private_canaries.py;docs/canary-report.md,T-MUTATION-INVARIANTS;T-FUZZ-DAG;T-PRIVATE-CANARIES,passed,python3 -m unittest tests.mutation.test_invariant_mutations tests.fuzz.test_seeded_graph_fuzzer tests.canary.test_private_canaries
